# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: McStas 2.5 - Dec. 12, 2018
# Instrument: Samples_Incoherent.instr
# Ncount: 1000000
# Trace: no
# Gravitation: no
# Seed: 1570824982
# Directory: Samples_Incoherent/3
# Param: L_min=0.5
# Param: L_max=7
# Param: SAMPLE=NULL
# Param: STOP=1
# Param: V_multiples=0
# Param: Order=0
# Param: INC=5.08
# Param: ABS=5.08
# Param: DB=0
# Param: ISISFACE=hydrogen
# Date: Fri Oct 11 20:19:33 2019 (1570817973)
# type: array_2d(180, 180)
# Source: Samples_Incoherent (Samples_Incoherent.instr)
# component: Sphere_4pi
# position: 0 0 8.3
# title: 4PI PSD monitor
# Ncount: 1000000
# filename: Events.dat
# statistics: X0=0.0897724; dX=104.877; Y0=0.37696; dY=39.2506;
# signal: Min=0; Max=38; Mean=12.0999;
# values: 392036 626.128 392036
# xvar: Lo
# yvar: La
# xlabel: Longitude [deg]
# ylabel: Lattitude [deg]
# zvar: I
# zlabel: Signal per bin
# xylimits: -180 180 -90 90
# variables: I I_err N
# Data [Sphere_4pi/Events.dat] I:
14 13 14 10 8 9 15 10 11 12 10 11 11 13 10 8 15 8 13 12 8 11 14 16 6 7 13 9 14 11 9 12 8 14 9 15 11 14 12 15 18 11 14 20 6 10 11 10 7 13 10 16 9 9 5 13 14 12 11 9 9 13 12 12 10 10 7 11 14 16 12 9 10 13 11 12 10 12 11 12 9 7 14 16 10 9 10 10 11 11 6 10 9 14 7 6 12 15 8 12 16 8 10 11 13 12 10 8 11 9 14 13 10 10 13 12 12 18 9 9 16 11 9 15 10 9 10 7 13 9 6 10 12 13 14 17 9 13 11 12 9 16 9 14 7 13 12 16 7 14 15 9 13 15 13 7 9 11 17 12 14 15 8 11 10 14 11 11 7 13 8 11 11 5 11 5 9 14 12 14 
9 10 13 7 15 7 10 15 11 15 9 7 10 11 12 13 12 7 12 12 8 14 15 13 8 11 11 10 6 12 15 7 14 15 8 14 14 6 14 7 15 13 4 10 11 12 6 6 10 8 12 7 11 9 13 8 4 11 10 12 13 8 10 12 9 13 17 11 15 10 8 19 12 9 15 19 6 10 9 12 6 10 11 11 13 8 16 11 8 6 13 9 11 7 12 11 6 10 9 13 15 10 20 8 12 12 9 16 6 9 7 12 12 11 17 10 7 11 7 12 8 11 13 9 12 12 12 14 10 20 14 7 15 11 13 12 17 15 9 8 16 6 15 11 11 10 8 15 13 18 7 11 13 10 7 11 9 11 15 16 20 19 12 20 14 7 12 15 15 14 11 13 14 6 14 5 26 11 15 16 
11 11 14 18 9 6 10 9 7 14 6 7 9 8 12 18 12 7 10 10 9 13 7 7 8 13 9 10 16 12 16 11 10 17 11 13 9 19 12 6 10 12 6 8 15 12 16 8 10 11 7 13 10 10 6 16 13 12 12 9 13 12 11 7 9 4 13 13 7 5 11 13 11 6 11 10 13 6 6 13 18 7 9 15 18 9 14 8 6 8 15 12 12 8 9 12 10 12 9 14 11 9 19 5 12 13 10 8 10 10 11 3 10 16 11 13 9 12 8 12 14 11 9 10 10 14 11 10 6 13 9 12 12 8 6 5 12 12 9 9 13 15 12 11 13 10 13 10 11 12 15 8 9 5 14 12 8 10 11 9 10 15 13 7 13 11 8 15 12 17 14 10 12 18 7 8 16 10 11 10 
9 12 8 7 9 8 12 11 9 15 6 7 9 15 19 11 12 10 16 6 12 10 8 14 18 11 15 5 12 15 11 9 9 21 10 8 10 8 8 7 11 8 9 6 13 7 10 14 12 14 11 12 9 14 11 10 8 6 11 12 9 6 9 6 10 8 14 12 10 17 10 5 14 10 9 13 8 13 9 7 9 12 14 6 18 6 9 8 11 10 10 8 10 13 13 10 8 11 13 13 13 11 8 12 18 16 8 12 11 9 11 15 10 9 8 10 11 10 10 9 8 18 12 13 9 10 9 6 10 12 15 11 10 11 11 11 10 13 5 7 10 11 16 13 10 14 15 6 14 13 8 13 9 17 6 16 17 14 12 12 17 7 8 10 15 7 14 14 10 15 6 15 13 10 11 12 6 14 12 7 
6 11 10 8 10 12 8 6 8 3 11 12 13 12 14 12 18 6 7 13 17 11 13 10 15 18 5 9 11 13 10 16 12 16 10 13 10 8 7 12 15 10 14 10 18 9 16 12 11 11 16 9 11 15 6 7 5 15 5 10 3 7 7 10 7 9 14 8 10 12 18 11 9 12 9 11 11 12 13 10 9 13 13 5 13 7 10 11 11 7 9 13 12 10 4 5 12 8 7 7 13 18 11 8 8 13 8 13 13 12 9 8 7 12 11 8 10 12 12 10 9 11 4 10 13 12 7 8 12 14 14 8 13 8 11 8 12 8 7 10 9 14 10 9 11 8 15 7 10 10 14 6 11 9 10 8 13 8 7 10 12 12 8 12 11 8 8 18 12 7 9 8 11 11 15 14 14 5 13 12 
4 11 11 8 10 9 9 8 7 11 7 13 11 9 8 13 11 11 5 6 5 7 20 10 9 5 4 10 14 9 14 11 10 7 6 7 9 11 8 8 11 4 10 14 12 10 8 8 6 10 13 13 7 13 14 9 9 5 12 11 9 14 13 12 14 9 7 14 10 8 15 9 9 5 10 5 9 17 11 7 9 10 8 12 7 6 5 11 9 12 13 8 11 11 13 6 10 11 11 6 8 9 9 9 4 8 11 15 8 7 13 10 14 7 5 14 10 15 8 8 4 6 9 8 6 8 7 8 12 10 9 12 9 12 13 14 6 6 10 7 5 4 7 7 14 12 12 17 17 11 7 14 14 13 13 7 5 13 12 10 6 11 9 9 9 10 7 10 13 8 12 11 12 10 8 16 17 12 14 10 
8 7 8 15 11 11 9 11 11 7 6 10 11 11 16 12 11 8 8 8 12 13 10 7 8 8 7 7 5 10 14 10 7 7 12 11 17 12 12 12 6 12 9 12 17 14 8 12 10 9 17 3 8 9 10 12 10 8 8 8 8 10 6 11 12 11 10 11 10 10 10 13 10 14 10 5 8 11 9 6 11 16 10 12 10 13 4 5 15 9 17 12 10 7 5 8 12 10 9 7 13 11 12 10 5 8 6 8 15 7 7 5 11 9 14 14 10 6 9 8 10 10 8 8 12 7 10 4 7 8 9 12 9 12 11 13 10 8 6 7 10 17 10 11 13 11 8 12 12 12 10 8 8 10 10 10 8 15 10 2 6 11 7 13 14 8 14 14 11 9 15 16 8 9 5 15 15 13 8 8 
9 9 7 12 8 9 12 6 14 10 11 16 5 11 10 9 13 10 7 10 14 15 9 10 9 13 11 9 12 12 4 11 11 14 8 8 5 9 13 7 9 9 5 6 10 11 9 11 6 9 9 10 14 14 9 6 5 11 6 5 10 6 4 11 11 8 8 10 10 17 8 13 9 12 10 14 13 8 14 11 8 9 9 10 9 8 4 8 6 17 9 6 11 10 12 8 14 8 10 8 10 10 12 10 12 10 11 11 16 4 13 9 18 9 6 11 9 5 7 6 3 13 11 4 9 10 9 6 11 8 11 7 14 11 6 9 8 11 7 6 12 9 10 14 6 9 5 7 10 9 9 9 12 10 5 13 10 8 6 6 15 8 6 10 9 8 11 4 7 14 8 10 11 9 10 15 7 6 9 10 
13 3 12 8 10 12 10 11 7 12 11 9 14 9 5 9 12 9 16 7 9 9 7 6 11 10 15 8 8 15 10 8 7 8 11 14 10 10 12 9 7 6 12 5 5 7 7 11 10 12 10 16 7 6 12 8 11 6 9 9 12 10 9 9 13 11 14 7 13 10 6 10 10 7 12 7 5 12 14 10 9 6 9 16 9 9 7 9 9 8 12 4 9 8 6 6 11 11 10 8 8 3 9 10 11 13 6 12 8 10 11 14 9 10 6 11 7 14 7 12 10 9 7 8 11 7 10 10 6 11 10 12 11 8 7 9 7 7 10 12 7 6 11 8 7 10 9 10 4 9 6 7 12 11 9 8 7 13 10 8 3 8 8 8 7 5 11 7 7 10 6 10 13 10 8 9 10 3 15 14 
5 6 13 14 7 8 9 7 10 12 9 10 14 11 8 9 10 14 15 12 8 9 9 17 8 6 16 14 9 11 4 12 13 8 11 12 11 5 6 9 8 11 7 7 14 17 14 7 11 8 9 8 10 6 11 6 7 12 10 6 4 8 7 13 12 8 15 7 5 10 5 8 5 11 6 13 6 6 13 8 11 7 6 14 5 3 9 6 9 4 15 5 14 10 8 9 6 4 9 13 6 11 7 9 9 6 11 11 6 9 10 6 7 8 7 10 11 10 1 15 4 9 9 6 6 14 7 7 11 11 12 8 10 7 12 12 6 10 6 7 8 12 7 9 7 10 6 8 4 6 6 8 9 5 10 17 8 7 13 12 8 7 12 6 13 8 6 6 10 8 7 7 10 9 11 15 5 9 10 12 
6 10 14 10 13 7 5 17 10 8 8 9 9 7 11 5 8 4 8 3 9 5 3 6 10 4 6 9 8 5 15 4 7 10 6 9 8 12 9 6 7 5 10 12 7 5 8 11 9 8 11 5 11 5 9 8 6 10 10 7 14 13 12 5 9 8 12 11 11 12 15 9 12 10 14 6 8 7 8 10 9 9 10 10 8 5 8 11 11 7 8 7 9 8 17 5 8 5 7 4 3 6 7 9 12 14 6 16 11 7 9 10 5 11 5 11 9 9 14 11 9 10 5 10 11 12 6 12 7 7 8 8 8 6 12 8 12 10 9 7 5 8 7 14 5 8 12 14 17 7 11 12 8 6 9 13 9 6 7 6 4 8 7 11 6 8 7 10 15 12 10 11 13 3 8 8 1 12 5 9 
12 5 6 5 4 13 6 5 9 7 8 10 5 3 10 7 8 8 3 6 11 9 4 7 7 6 7 5 4 6 10 7 9 9 8 8 9 10 7 7 7 7 6 4 13 2 8 12 7 3 6 8 11 13 8 11 4 10 8 6 3 8 6 4 12 9 4 4 7 9 10 4 8 10 9 8 9 8 10 7 8 9 8 7 7 9 6 4 11 5 8 10 9 8 7 9 11 4 8 10 10 13 12 12 9 7 14 5 14 5 8 6 8 6 9 11 6 6 14 7 12 4 4 9 3 6 8 7 8 10 11 11 7 10 12 14 2 11 4 8 5 12 4 12 8 8 6 7 10 5 5 10 8 6 3 7 12 9 7 5 7 13 8 10 8 7 4 10 7 9 5 9 11 11 7 8 9 8 10 12 
8 10 10 9 9 11 13 12 6 15 6 9 8 12 11 7 1 6 13 7 15 9 5 12 3 8 4 8 7 9 4 10 6 8 5 9 6 10 4 10 3 9 9 7 6 8 5 9 12 4 9 9 6 3 5 8 9 10 12 7 4 7 6 16 11 6 10 4 13 5 9 8 8 5 8 15 12 10 6 10 14 5 4 6 10 3 3 7 9 11 8 11 6 10 5 15 8 8 4 3 4 10 8 6 11 10 10 8 7 9 13 9 7 9 4 6 5 9 13 1 8 3 10 4 8 6 9 5 7 10 4 6 7 10 9 8 10 6 10 10 12 4 4 10 11 6 9 7 7 6 8 9 8 9 7 9 7 8 1 7 12 8 13 5 12 7 9 4 9 9 7 12 9 9 10 14 6 7 5 5 
8 12 5 10 8 8 8 14 9 9 9 5 7 6 6 2 4 10 8 7 6 12 7 2 8 6 10 9 9 4 7 4 10 5 9 7 13 8 13 7 8 10 9 6 8 4 5 8 6 4 10 8 11 9 10 14 7 8 12 5 8 11 8 2 8 10 5 8 8 11 10 7 8 13 12 3 7 3 6 7 7 8 8 7 8 10 7 6 8 8 2 5 11 7 12 7 9 6 14 8 7 12 8 5 10 8 7 5 5 6 10 10 9 4 10 6 7 11 9 4 8 9 9 8 10 9 6 12 9 6 9 8 9 12 9 9 6 5 9 11 8 8 8 7 8 8 8 9 4 4 10 8 6 7 4 5 10 11 11 7 8 7 9 11 8 5 10 7 7 7 6 11 5 6 8 7 8 6 5 7 
10 11 8 8 5 4 6 9 7 11 5 7 8 9 6 6 9 6 6 10 5 5 6 4 6 8 13 5 11 12 11 3 7 6 3 7 8 10 3 12 13 16 7 10 4 10 8 4 6 11 11 6 3 7 14 5 4 6 3 12 4 3 4 10 3 8 5 0 4 7 5 5 7 2 6 7 4 7 4 7 12 8 9 9 4 12 7 5 7 6 6 11 5 9 8 5 8 6 5 9 6 9 9 6 11 7 8 5 10 8 8 9 10 7 8 3 9 8 5 8 8 3 5 17 4 7 8 15 14 8 9 5 10 8 7 9 8 6 10 12 10 11 9 7 9 9 7 3 14 9 12 12 8 6 9 11 8 5 8 2 10 7 3 9 11 5 16 11 11 10 12 8 3 4 11 7 7 10 8 7 
8 4 6 11 3 5 8 9 4 7 5 10 6 5 6 8 5 11 7 4 5 5 6 7 5 13 8 7 4 6 5 6 3 7 8 8 5 9 8 4 4 10 8 8 6 6 5 7 10 10 6 5 5 6 10 10 7 8 8 10 4 14 4 10 6 9 6 6 8 14 10 7 5 4 4 6 5 8 8 12 7 10 7 4 8 9 12 3 5 4 8 11 6 10 5 12 9 13 8 9 13 6 9 9 6 9 7 8 3 9 11 7 7 8 8 9 6 5 8 7 5 8 7 6 10 11 4 7 13 6 7 6 3 9 6 6 11 9 6 8 7 6 9 3 6 7 6 6 11 3 7 5 7 6 9 4 10 5 9 3 8 9 3 7 9 5 7 7 6 8 10 8 4 8 4 7 5 8 7 11 
4 5 4 7 8 12 6 10 6 4 4 6 8 6 7 6 5 9 2 6 4 7 5 9 5 13 8 5 4 5 8 3 8 6 5 8 6 12 9 6 7 6 7 6 5 4 7 12 6 11 9 11 5 7 4 7 8 5 3 7 6 8 6 11 8 9 10 3 7 6 8 10 6 5 8 3 6 5 8 5 4 6 5 6 7 9 7 13 11 4 5 6 6 7 8 3 7 8 4 7 2 13 4 12 6 7 10 5 6 5 7 1 8 4 4 6 10 1 4 5 9 10 10 7 9 9 9 6 8 7 3 1 8 6 7 7 15 5 4 8 7 6 9 8 6 10 5 7 5 3 8 4 5 4 5 7 5 4 12 4 7 8 5 9 8 6 7 5 6 5 7 5 7 7 9 11 7 5 9 6 
8 5 2 9 5 3 9 8 4 4 7 8 5 5 6 5 11 10 4 4 6 6 3 6 8 7 6 5 8 9 7 7 7 6 2 6 4 8 5 7 6 5 3 7 6 2 10 9 5 7 9 12 10 11 7 3 3 10 4 8 2 10 8 4 8 7 4 7 7 7 6 5 8 5 8 9 7 4 9 15 7 8 5 6 8 6 5 5 7 13 5 5 2 4 7 8 12 5 7 3 10 5 5 7 9 11 4 6 7 3 5 6 10 5 12 8 7 2 7 7 6 4 11 6 3 7 7 4 6 5 6 7 8 11 3 0 6 3 6 3 8 7 8 4 7 10 5 7 4 5 4 6 5 8 7 7 11 4 3 8 6 7 6 3 7 7 8 5 11 5 7 10 9 6 11 7 8 6 5 7 
6 4 8 6 5 6 9 7 7 7 6 2 5 10 2 6 3 5 6 8 7 9 12 7 5 7 11 6 3 11 6 7 13 8 6 11 6 10 7 5 5 8 9 8 3 2 5 9 1 8 6 6 5 6 8 5 6 8 5 5 5 5 10 6 7 8 6 6 8 4 4 6 11 4 5 7 4 9 5 5 8 5 3 7 5 7 3 10 8 5 4 4 6 8 4 7 6 10 6 6 6 10 8 10 6 1 8 14 5 3 7 9 1 7 2 5 7 6 3 6 10 8 4 7 11 7 5 11 5 9 7 7 4 12 3 5 4 7 4 2 4 5 3 8 5 8 11 8 8 4 14 7 5 8 7 5 7 5 5 7 4 8 5 9 4 5 4 10 6 11 9 3 6 6 5 9 13 7 4 8 
8 3 6 7 6 5 4 6 5 5 6 5 6 6 7 5 6 10 5 8 3 5 2 4 4 6 8 7 4 4 6 8 5 5 9 4 9 6 5 3 8 7 5 7 6 10 7 5 9 3 10 1 4 7 6 6 6 2 4 8 3 5 8 5 5 3 10 6 9 7 7 6 8 2 3 11 4 8 4 7 3 5 6 3 3 5 11 3 4 2 7 7 4 13 6 8 5 8 5 4 5 7 5 7 5 2 7 7 5 9 6 9 7 5 6 11 1 7 7 6 4 7 3 3 6 6 6 2 3 5 12 4 6 5 5 6 13 2 5 9 6 6 7 5 6 8 5 5 4 5 11 2 6 9 6 4 6 6 9 2 5 8 4 4 1 5 5 6 9 5 5 7 7 3 6 7 4 6 4 7 
12 3 5 8 4 4 4 4 4 7 5 6 2 6 10 2 5 1 6 8 4 3 5 6 3 8 6 7 9 3 6 6 3 7 5 5 6 5 6 3 4 4 5 4 7 6 9 5 9 6 7 5 9 8 4 7 8 8 8 8 6 4 5 5 7 4 8 6 6 6 6 8 4 7 7 7 6 4 5 3 4 3 6 3 5 5 6 7 5 2 5 5 3 6 5 4 3 4 8 6 4 3 7 6 2 5 8 5 6 2 4 3 4 2 10 5 5 3 2 6 1 5 7 9 5 4 8 5 7 3 7 3 9 8 2 7 7 4 4 1 7 4 6 6 2 3 5 5 4 4 8 13 3 6 7 4 3 6 6 9 5 6 5 5 2 4 6 6 6 5 4 5 5 8 4 3 7 5 4 10 
6 8 3 3 9 2 3 6 6 2 4 3 3 7 2 6 5 6 7 4 5 3 7 6 7 10 9 4 13 10 4 7 7 7 5 2 3 6 4 6 3 8 4 3 1 4 8 4 6 7 5 6 5 2 3 4 3 2 4 5 8 3 4 5 5 0 7 5 11 10 1 3 7 6 7 7 6 5 6 9 8 3 4 6 7 6 4 8 5 2 7 1 5 6 5 8 6 5 6 2 6 2 7 6 6 8 6 6 6 11 8 7 10 5 4 9 8 6 7 4 6 5 2 15 3 3 4 6 8 3 2 6 2 7 7 2 6 6 7 5 2 7 6 2 8 3 4 2 2 6 4 4 5 3 6 8 8 5 3 3 6 0 4 2 2 4 5 6 3 6 6 4 3 2 3 3 3 11 6 6 
5 4 5 8 6 7 2 5 1 4 2 8 6 5 7 5 4 8 5 8 5 6 4 6 5 6 7 4 5 8 7 7 4 2 7 5 7 5 5 5 5 2 1 4 5 5 4 3 3 7 3 5 9 4 4 4 4 12 10 7 3 7 6 6 3 1 5 7 4 4 8 4 5 1 10 6 3 6 2 2 3 5 5 3 2 6 8 3 7 5 4 3 3 14 5 8 5 5 6 0 6 4 3 7 5 3 2 6 6 4 4 3 2 3 7 2 6 5 4 6 3 4 6 6 3 5 8 3 5 6 2 8 5 4 2 5 5 4 5 2 12 9 4 8 6 5 4 9 7 4 5 4 1 5 5 6 8 5 5 5 4 7 8 5 5 7 5 5 9 7 6 7 3 5 7 6 3 5 6 4 
0 6 5 10 7 4 7 3 4 4 6 10 7 6 4 4 8 8 4 4 6 4 4 9 4 4 5 2 5 1 3 3 3 2 5 3 2 5 4 4 1 1 5 5 4 2 0 4 4 6 10 2 2 1 5 6 5 6 8 1 8 7 3 2 4 5 4 6 5 4 6 2 4 1 7 2 4 2 3 1 2 1 6 4 6 7 3 1 3 8 6 6 4 5 4 4 5 3 6 1 4 6 4 4 2 3 0 5 2 10 3 3 5 4 5 6 5 7 5 5 5 1 2 7 9 5 4 3 9 5 7 5 5 7 3 7 6 4 5 5 2 7 6 5 4 4 5 0 2 6 7 5 6 5 7 6 5 2 4 1 5 2 3 4 11 1 2 2 2 3 5 7 6 6 3 6 5 3 5 5 
1 5 7 5 4 4 6 3 4 7 5 4 7 3 3 5 3 4 3 1 5 5 5 3 2 1 1 2 5 2 7 3 1 10 4 3 5 1 4 2 4 3 3 2 5 6 5 2 6 5 4 3 8 6 5 2 3 1 5 2 3 4 3 7 8 3 3 7 8 3 3 2 3 7 2 2 1 5 5 4 3 1 1 3 6 1 5 3 4 5 3 4 3 8 5 3 2 1 10 1 3 3 3 3 3 4 3 7 3 6 9 3 3 3 3 2 4 5 2 4 3 3 3 5 5 2 2 9 1 7 3 5 4 3 3 0 2 2 3 5 5 6 5 9 3 3 2 5 4 3 3 4 1 8 4 6 3 7 5 4 5 12 8 2 3 1 5 2 6 4 7 6 3 1 3 7 5 3 3 5 
3 2 4 5 2 2 3 2 5 4 5 1 5 3 11 2 4 5 4 7 1 5 4 2 1 2 4 2 2 3 4 3 2 6 4 8 3 7 6 4 5 6 5 4 2 2 3 8 0 3 5 5 4 8 2 3 1 5 2 2 4 6 2 1 4 2 2 4 4 5 6 4 4 6 4 3 3 3 6 3 3 2 6 5 8 3 5 0 5 4 6 5 2 4 7 2 5 5 5 3 6 2 7 3 3 2 2 3 3 2 2 4 7 4 7 2 6 4 5 4 2 6 4 3 2 1 4 2 8 5 7 6 3 3 6 2 2 7 2 3 6 5 3 3 8 3 2 10 4 6 5 4 3 2 0 4 4 2 3 2 10 5 1 1 3 7 3 1 6 3 4 4 3 5 4 6 3 4 5 12 
1 3 4 6 5 4 2 4 2 3 2 6 5 4 5 3 2 7 7 1 4 3 3 2 2 3 3 5 3 3 5 2 3 5 4 5 4 1 6 4 4 2 2 4 3 2 3 3 2 3 4 3 7 4 3 1 3 2 3 1 7 8 2 1 4 5 1 4 2 6 5 2 6 4 4 3 4 4 4 2 4 2 5 3 5 5 3 2 2 3 3 2 4 5 2 3 2 4 2 3 5 3 5 4 6 1 2 6 2 2 2 2 3 2 4 3 2 1 2 4 3 3 5 5 4 4 4 5 5 3 1 3 3 0 6 1 6 3 5 8 3 2 5 0 3 5 2 2 5 2 4 1 3 3 3 6 4 5 1 7 4 3 5 5 3 4 4 6 2 1 6 2 3 2 4 2 7 6 4 2 
3 3 7 3 4 4 3 3 2 6 4 4 1 5 3 7 4 3 1 3 4 6 2 3 5 1 5 2 2 3 1 2 0 3 4 0 5 0 4 6 0 2 4 1 2 2 5 2 4 2 3 3 2 0 1 2 2 3 2 4 2 2 2 1 3 3 3 1 8 3 5 2 2 3 5 1 0 2 6 5 4 3 2 3 1 3 6 3 6 8 1 2 5 2 3 3 3 3 2 3 6 5 4 5 2 3 5 2 2 1 2 1 2 2 1 5 7 7 0 6 6 1 5 7 2 2 1 5 5 5 2 3 1 3 2 3 4 0 4 2 1 4 3 1 3 5 4 5 5 8 3 3 5 3 5 3 2 2 6 3 2 6 4 1 0 1 3 4 2 3 5 0 6 4 0 1 5 3 2 0 
2 3 4 5 3 2 3 3 3 2 2 1 3 2 3 4 1 3 1 5 1 4 4 5 3 3 0 4 3 3 4 3 1 5 4 2 4 3 3 6 2 4 2 3 0 4 3 5 1 3 4 1 4 2 1 2 6 4 5 5 4 6 5 2 6 1 2 1 2 2 1 4 3 4 4 3 2 1 4 6 1 5 2 4 1 2 6 1 1 4 0 1 2 1 3 3 4 4 1 5 2 2 2 4 2 5 1 5 5 3 2 4 5 4 4 2 5 3 8 3 3 5 2 1 5 5 4 3 3 3 2 3 6 2 3 3 2 1 3 2 4 4 3 3 2 0 3 1 2 6 2 2 6 5 1 1 3 6 1 3 6 0 1 2 1 1 1 0 2 2 2 4 2 4 3 2 2 1 1 2 
3 2 1 3 4 0 3 3 3 2 4 2 4 3 2 1 5 6 2 7 2 2 5 7 3 7 3 3 5 1 2 5 3 1 1 2 4 1 1 3 1 5 1 3 2 1 3 3 3 3 1 4 4 1 1 3 3 2 1 1 4 3 6 3 1 0 0 5 3 5 1 2 3 4 2 2 2 6 2 4 2 1 4 3 4 3 3 7 2 2 2 2 7 1 7 2 1 2 2 1 3 3 6 2 5 3 4 5 2 3 2 4 3 3 1 5 3 9 2 4 2 2 4 1 4 1 6 2 4 6 6 3 3 1 3 4 5 3 2 1 1 2 7 0 3 0 1 4 2 1 3 4 4 5 3 3 1 2 3 3 5 2 3 1 1 2 1 4 0 3 1 2 2 2 1 3 1 4 2 2 
5 3 1 0 2 4 5 3 1 1 3 1 1 0 0 3 2 5 1 2 1 2 1 2 1 1 3 2 2 1 1 3 2 1 1 1 1 4 3 1 2 3 3 3 0 1 2 2 2 1 4 8 2 4 1 2 1 1 2 1 2 4 4 3 1 4 1 1 1 4 4 1 4 3 4 3 4 4 2 3 1 1 1 4 4 2 1 1 3 4 0 1 4 2 3 1 1 1 3 2 1 1 2 2 2 1 2 3 5 3 3 2 3 2 3 1 4 2 1 2 4 2 0 2 1 1 1 3 2 2 2 2 2 5 0 3 4 2 2 1 3 0 0 5 1 2 2 3 1 1 3 1 2 2 3 0 3 4 2 2 3 3 1 0 2 2 1 4 3 3 2 2 3 1 3 4 1 2 1 1 
1 5 2 4 1 3 5 4 3 3 0 3 3 3 0 1 2 3 0 1 2 3 2 1 3 2 0 1 3 3 0 2 2 2 2 0 4 1 2 2 0 0 3 3 2 2 2 2 4 1 3 2 1 3 1 0 3 4 1 4 3 3 4 2 0 4 1 0 1 3 3 2 0 3 2 3 3 8 2 2 0 3 1 2 1 1 2 1 3 1 2 1 1 2 2 2 2 0 0 3 4 2 3 3 1 1 3 4 4 2 1 1 2 0 3 2 1 4 0 1 2 2 1 0 1 3 3 1 1 2 0 0 2 3 2 0 3 1 3 1 3 3 0 1 2 4 2 0 0 1 2 2 1 5 3 3 1 0 2 2 5 1 3 2 1 1 1 1 0 1 0 2 2 3 0 0 1 2 1 1 
1 1 0 3 5 4 2 4 1 3 0 0 2 3 0 1 1 3 5 1 2 2 4 1 3 0 1 3 2 0 1 2 3 1 2 0 0 0 2 2 1 1 1 2 0 3 2 3 1 2 0 0 0 0 0 1 1 2 5 0 0 1 3 2 1 1 1 2 1 1 1 1 0 1 1 3 1 3 2 0 2 2 1 0 5 2 1 0 4 0 1 2 1 1 0 1 1 2 2 4 0 3 1 1 1 2 3 2 2 1 0 1 2 0 2 2 0 2 1 2 3 0 2 1 2 1 3 1 1 0 4 3 0 1 1 2 2 2 2 1 1 2 3 2 5 4 1 3 0 0 3 2 0 1 1 0 4 3 2 0 0 2 1 1 1 1 0 4 3 3 0 2 1 0 3 4 4 0 1 0 
2 2 2 2 1 1 0 0 0 4 1 1 4 2 0 0 1 0 1 1 0 1 0 3 1 1 1 0 0 1 1 6 0 2 2 1 1 2 0 0 2 0 1 2 0 2 3 1 2 1 1 1 1 0 1 0 2 1 3 1 0 1 1 3 1 2 0 0 3 2 0 1 2 0 1 1 2 3 1 2 0 0 3 1 0 3 2 3 0 3 1 1 2 3 1 2 0 1 5 2 0 1 0 0 0 0 1 2 1 2 0 2 2 0 1 2 4 0 1 1 1 3 0 1 1 1 2 0 1 1 1 5 1 2 4 1 1 0 1 4 0 5 1 0 3 1 0 3 2 3 0 2 2 0 1 0 1 1 1 0 1 1 1 1 2 1 1 1 1 1 1 2 0 1 0 0 1 2 1 0 
1 0 1 0 2 0 0 1 1 0 1 0 1 0 0 1 0 1 2 1 0 1 1 0 1 2 0 2 3 0 0 0 0 3 1 2 2 1 1 1 1 2 2 3 2 1 0 2 0 0 1 0 2 1 1 1 0 3 0 0 2 0 0 0 2 1 2 3 0 1 1 0 4 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 2 2 1 1 2 0 1 3 3 0 1 0 0 1 1 2 1 2 0 0 2 0 0 0 0 1 0 1 1 0 2 0 1 1 1 1 1 1 1 3 1 1 2 1 1 1 3 0 1 1 2 0 1 2 1 0 1 1 2 1 0 1 0 3 1 2 0 4 0 0 2 0 0 2 1 1 0 1 0 2 0 1 3 0 0 1 1 0 0 1 0 0 
0 2 0 0 1 0 3 0 1 1 0 0 0 1 1 2 0 3 0 0 3 0 1 0 2 0 0 1 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 2 1 0 0 3 0 0 0 0 1 0 1 0 0 2 1 2 2 0 0 1 0 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 2 0 0 0 2 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 2 0 3 2 1 1 0 2 0 1 1 3 1 1 0 1 1 0 0 0 1 1 0 0 0 0 2 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 2 0 2 0 1 2 0 0 0 1 0 1 0 
1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 1 1 0 0 0 0 1 1 2 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 
# Errors [Sphere_4pi/Events.dat] I_err:
